nombre,isNombre
ROSA ANDREA,1
ANDREA ALEXANDRA,1
SUSANA TERESA,1
ALEXANDRU MIHAI,1
ALEXANDRA DENISA,1
MARIA QUITERIA,1
ROBERTO FABIAN,1
TERESA CATALINA,1
GIGA,1
DRAGOS GEORGE,1
CESAR AGUSTIN,1
ROSA CONCEPCION,1
ENCARNA MARIA,1
KAREN ESTEFANIA,1
GALYNA,1
HUGO ROBERTO,1
FABIAN JESUS,1
VIORICA,1
MINERVA CARMEN,1
PILAR TERESA,1
GERMAN ANGEL,1
IVAYLO DIMITROV,1
MANUEL MARIO,1
CONCORDIA,1
SILVIA BELEN,1
BRYAN JESUS,1
KAREN ELIZABET,1
ANTONIO MARIAN,1
RAGNHILD,1
LUIS TOMAS,1
ION EUGEN,1
YULI,1
ELENA ANTONIA,1
MARINA LORENA,1
RUSLANAS,1
MARIA AINOA,1
TRAORE,1
OVIDIU,1
CLARITZA,1
SILVIA ANTONIA,1
FANNY CARMEN,1
PAUL IONUT,1
MARIA NAGORE,1
CLAVELINA,1
ALEJANDRA VICTORIA,1
MARIA GRACIANA,1
ALEJANDRO JOEL,1
YELIZAVETA,1
IONE,1
KALID,1
JOSEFINA MERCEDES,1
LUCAS LUIS,1
CLAUDIU DANIEL,1
JAVIER JOAQUIN,1
LUMINITA GABRIELA,1
GENOVAITE,1
JHOAN DAVID,1
JOSEP R,1
MIHAI CRISTIAN,1
FIDEL MANUEL,1
JOSEP VICENT,1
ALIOUNE,1
JOSE LORENZO,1
ASSANE,1
ANDREEA STEFANIA,1
FRANCISCUS JOHANNES,1
JUNYI,1
FLAVIUS DANIEL,1
ALBERTO MARTIN,1
FERNANDO PASCUAL,1
MARIA SANTO,1
LUCIANO JOSE,1
PETER ALFRED,1
OANA MARIA,1
LAURA CONSUELO,1
EUGEN ADRIAN,1
GUSTAVO PABLO,1
SANDRA JANETH,1
ISAAC FERNANDO,1
OSTAP,1
APARECIDA,1
JUAN RIBERA,1
SARAH VICTORIA,1
ENAITZ,1
ANGIE ALEXANDRA,1
LIMEI,1
MARIELY,1
FLORINA,1
PILAR ELISA,1
