frase_nombre,isnombre
14,0
Expediente judicial numero 1/2016.,0
Juicio ejecutivo mercantil.,0
Juzgado Noveno de Jurisdiccion Concurrente del Primer Distrito Judicial del Estado de Nuevo Leon.,0
Promovido por Marcos Gonzalez Castillo,0
 en su caracter de apoderado general para pleitos y cobranzas de Materiales Star,0
 Sociedad Anonima de Capital Variable.,0
En contra de Ferreteria,0
 Sociedad Anonima de Capital Variable. ,0
Asunto: Se dicta sentencia definitiva.,0
"	",0
Monterrey,0
 Nuevo Leon,0
 a 16 dieciseis de junio de 2016 dos mil dieciseis.,0
Visto para resolver en definitiva los autos que integran el expediente judicial numero 1/2016,0
 cuyos datos de identificacion se precisaron en lineas que anteceden.,0
Asi mismo,0
" se estima importante mencionar que la parte actora senalo como domicilio convencional para los efectos de oir y recibir notificaciones el servicio de Tribunal Virtual bajo la clave ""mago"".",0
Por su parte,0
 se tiene que la parte demandada senalo como domicilio para los resenados efectos,0
 el ubicado en calle Ramon Lopez numero 325 norte,0
 en el sector centro de Monterrey,0
 Nuevo Leon. ,0
No obstante,0
 se tiene que la partes procesales peticionaron el acceso al expediente electronico derivado del sumario en que se actua,0
 por ende,0
 las notificaciones personales ordenadas a dichas personas se realizan en terminos del numeral 77 del segundo titulo especial de Codigo de Procedimientos Civiles para el Estado de Nuevo Leon,0
 de aplicacion supletoria a la legislacion mercantil,0
 es decir,0
 por medio de su sola publicacion en el Boletin Judicial,0
 pudiendo ser consultadas a traves del Tribunal Virtual.,0
Asentados los datos de identificacion de rigor,0
 una vez analizado todo lo actuado en el presente procedimiento y cuanto mas consta en autos,0
 debio verse y tenerse en cuenta,0
 se pronuncia el siguiente:,0
 ,0
RESULTANDO.,0
UNICO: Antecedentes del expediente. Mediante escrito presentado ante la Oficialia de Partes Comun de los Juzgados de lo Civil,0
 de Jurisdiccion Concurrente y Menores de Monterrey,0
 Nuevo Leon,0
 el accionante comparecio a fin de interponer juicio ejecutivo mercantil en contra de la parte demandada,0
 de quien reclamo el pago de la cantidad de $450,0
000.00 cuatrocientos cincuenta mil pesos 00/100 moneda nacional y demas prestaciones accesorias.,0
El actor expuso los hechos constitutivos de su accion,0
 ofrecio las pruebas que estimo idoneas para justificarlos e invoco los preceptos legales que considero aplicables. De igual forma,0
 solicito que seguidos los tramites legales correspondientes se dictara sentencia favorable a sus pretensiones.,0
Admitida a tramite la demanda,0
 se dicto auto de exequendo,0
 mediante el cual se ordeno requerir a la parte demandada sobre el inmediato pago de la cantidad reclamada como suerte principal y demas prestaciones accesorias. El emplazamiento respectivo se verifico tal y como consta en autos,0
 y se previno a la parte demandada Ferreteria,0
 Sociedad Anonima de Capital Variable,0
 para que dentro del termino de legal correspondiente ocurriera a hacer paga llana de lo reclamado u oponerse a la ejecucion si para ello tuviere excepciones legales que hacer valer. Del sumario se desprende que el sujeto pasivo de la Litis si dio contestacion a la demanda incoada en su contra.,0
Asi mismo,0
 se concedio a las partes una dilacion probatoria,0
 a fin de que se desahogaran las pruebas admitidas por este juzgado,0
 y se tuvieron por materializadas desde aquel momento aquellas que no requirieron desahogo especial por parte de este tribunal. Una vez concluido el periodo probatorio,0
 se concedio a las partes un termino comun de 2 dias para que formularan los alegatos de su intencion. ,0
Por ultimo,0
 se ordeno dictar la sentencia correspondiente,0
 misma que ha llegado el momento de pronunciar.,0
CONSIDERANDO.,0
"	",0
PRIMERO: Legislacion aplicable. En el particular se observa el Codigo de Comercio reformado por medio del decreto publicado en el Diario Oficial de la Federacion del dia 13 trece de junio de 2014 dos mil catorce,0
 segun se razono en el auto de fecha 7 siete de marzo de 2016 dos mil dieciseis.,0
Por tanto,0
 ya que la demanda de merito fue presentada con posterioridad a la entrada en vigor de la reforma mencionada,0
 le es aplicable el Codigo de Comercio senalado en el auto de radicacion. Por lo que,0
 al hacerse mencion en este fallo respecto al citado ordenamiento,0
 se hace alusion al indicado en este considerando.,0
De igual forma,0
 debe acotarse que la ley especial mercantil aplicada al presente asunto,0
 es la Ley General de Titulos y Operaciones de Credito,0
 cuya vigencia temporal data a partir del 13 trece de junio de 2014 dos mil catorce.,0
Por ultimo,0
 de conformidad con lo dispuesto por el numeral 1054 de la codificacion de merito,0
 en suplencia de las disposiciones del Codigo de Comercio,0
 sera aplicable el Codigo Federal de Procedimientos Civiles y,0
 solo en caso de que este no regule la institucion cuya suplencia se requiera,0
 el Codigo de Procedimientos Civiles para el Estado de Nuevo Leon.  ,0
SEGUNDO: Naturaleza juridica de la sentencia definitiva. Las sentencias definitivas en los juicios mercantiles se rigen,0
 en esencia,0
 por lo dispuesto en los articulos 1321,0
1322,0
1324,0
1325,0
 1326 y 1327 del Codigo de Comercio. Numerales que en lo general senalan que la sentencia definitiva es la que decide el negocio en lo principal,0
 ademas,0
 que debera estar fundada en la ley; y en caso de que esta no sea suficiente para decidir la controversia,0
 entonces sera necesario atender a los principios generales del derecho.,0
Es practico senalar,0
 de igual forma,0
 que la sentencia debe ser clara al establecer el derecho,0
 ya sea condenando o absolviendo. Para esto,0
 se tomaran en cuenta solamente la accion deducida y las excepciones opuestas respectivamente en la demanda y en la contestacion.,0
TERCERO: Competencia de este organo de justicia. Este juzgado se considera competente para conocer y resolver el asunto que nos ocupa; ello,0
 en atencion a las consideraciones vertidas en el auto de admision de fecha 7 siete de marzo de 2016 dos mil dieciseis; las que a la fecha no han sido desplazadas.,0
CUARTO: Personalidad y legitimacion de las partes. En atencion a lo dispuesto por el articulo 1057 del Codigo de Comercio,0
 el cual establece la obligacion de quien ahora juzga de examinar de oficio la personalidad de las partes que contienden en el presente juicio.,0
Asi,0
 respecto al mandato otorgado a favor de la parte actora formal,0
 se encuentra justificado mediante la copia certificada de la escritura publica 5,0
487 cinco mil cuatrocientos ochenta y siete de fecha 10 diez de noviembre de 2010 dos mil diez,0
 pasada ante la fe del licenciado Jesus Quinonez Pacheco,0
 notario publico titular numero 22 veintidos,0
 con ejercicio en el Primer Distrito Registral del Estado Nuevo Leon.,0
Descriptiva la anterior,0
 de la que se advierte el otorgamiento a   la parte actora formal,0
 de poder general para pleitos y cobranzas para representar a la parte actora material,0
 ante cualquier autoridad administrativa o judicial,0
 etcetera.,0
Herramienta probatoria que por tratarse de una copia certificada de un testimonio de escritura publica,0
 tiene el caracter precisamente de documental publica,0
 en los terminos de los articulos 1237 del Codigo de Comercio y 129 del Codigo Federal de Procedimientos Civiles,0
 aplicado supletoriamente a la legislacion mercantil en consulta,0
 acorde con el numeral 1054 del Codigo de Comercio y 104 de la Ley del Notariado del Estado de Nuevo Leon. Por ende,0
 tal instrumento hace prueba plena,0
 de conformidad con lo categoricamente dispuesto por los dispositivos 1205,0
1237,0
 1292 y 1293 del Codigo de Comercio.,0
Aunado a lo anterior,0
 tal documental publica tiene plena eficacia juridica en virtud de encontrarse ajustadas a lo dispuesto por los numerales 2546,0
2547,0
2551,0
2553,0
 2554 y 2555 del Codigo Civil Federal,0
 aplicado supletoriamente a la legislacion mercantil en cita,0
 en relacion con lo establecido por el articulo 10 de la Ley General de Sociedades Mercantiles.,0
Por lo tanto,0
 se tiene que la parte actora formal comparece en el presente juicio como apoderado general para pleitos y cobranzas de la parte actora material. Ante ello,0
 deviene que la legitimacion en el proceso de la parte actora se encuentra debidamente acreditada,0
 de conformidad con el articulo 1056 del Codigo de Comercio. ,0
Por otro lado,0
 en lo que respecta a la legitimacion en el proceso con la que comparecio el apoderado general para pleitos y cobranzas de la parte demandada,0
 la misma se acredita mediante la copia certificada de la escritura publica numero 3,0
620 tres mil seiscientos veinte de fecha 10 diez de marzo de 2014 dos mil catorce,0
 pasada ante la fe del licenciado Eduardo Rodriguez Mendoza,0
 notario publico titular de la notaria publica numero 37 treinta y siete con ejercicio en el Septimo Distrito Registral en el Estado de Nuevo Leon; de la cual se desprende que al compareciente se le designo como representante de la persona moral demandada,0
 con las facultades que del mismo se desprenden. ,0
Documental que merece valor probatorio pleno respecto al acto juridico que contiene,0
 misma que obra en el secreto de este juzgado,0
 en terminos de los articulos 1205,0
 1237 y 1292 del Codigo de Comercio y que ademas,0
 reune los requisitos del articulo 10 de la Ley General de Sociedades Mercantiles. De ahi que se tenga acreditada,0
 la legitimacion en el proceso de la persona que acudio en su caracter de apoderado general para pleitos y cobranzas de la parte demandada. Sirve de sustento a lo antes expuesto,0
" el criterio con rubro ""LEGITIMACION PROCESAL ACTIVA. CONCEPTO.""",0
Ahora bien,0
 en lo que atane a la legitimacion en la causa de las partes,0
 la que consiste en la identidad del actor o demandado con la persona a cuyo favor esta la ley,0
 para el ejercicio del derecho o su defensa,0
 al efecto,0
 es dable precisarse,0
 que la misma se encuentra justamente acreditada; ello,0
 como a continuacion se expondra:,0
Por principio de cuentas,0
 es dable senalar que es de explorado derecho,0
 que la legitimacion en la causa puede ser activa o pasiva. La primera es la facultad que posee un sujeto para iniciar un proceso y por el contrario,0
 la legitimacion pasiva se refiere a la situacion de aquel en contra del cual se quiere enderezar el proceso; esto es,0
 la accion se debe de entablar contra quien este obligado a satisfacer la obligacion. Sirve de sustento a lo antes expuesto,0
" el criterio con rubro ""LEGITIMACION AD CAUSAM. CONCEPTO.""",0
 ,0
Asi,0
 es dable precisar que la legitimacion en la causa de la parte actora (activa) y de la parte demandada (pasiva) se encuentra justificada plenamente con el  cheque base de la accion,0
 puesto que de su literalidad se aprecia claramente que la parte actora material aparece como beneficiaria y,0
 ademas,0
 se advierte el nombre de la ahora parte demandada como libradora del cheque base de la accion. ,0
De lo que se obtiene que la accion es ejercitada por quien tiene la titularidad del derecho y en contra de aquella que tiene a su cargo el cumplimiento de la obligacion demandada. Ello de conformidad con el articulo 38 de la Ley General de Titulos y Operaciones de Credito.,0
De ahi,0
 que se tenga plenamente acreditada la legitimacion de las partes para comparecer a juicio,0
 aceptando ampliamente su personalidad,0
 acorde a lo dispuesto en el articulo 1056 del Codigo de Comercio.,0
QUINTO: Via y estudio de la accion. El estudio relativo a la via ejecutiva intentada y a la accion ejercitada se hara en su conjunto,0
 dada la estrecha relacion que guarda una con la otra. En efecto,0
 la propia naturaleza del juicio ejecutivo exige la existencia de un titulo de credito para su procedencia; de suerte tal que,0
 si el documento base no reune los requisitos que senala la ley para constituir un titulo de credito,0
 no dara pie para la via ejecutiva y,0
 por ende,0
 tampoco para acreditar la accion que en el se funda. Ilustra la anterior postura,0
" la tesis aislada cuyo rubro es ""VIA Y ACCION EJECUTIVA MERCANTIL",0
 PROCEDENCIA DE LA. SU ESTUDIO PUEDE SER SIMULTANEO.,0
Ahora,0
 para delimitar el estudio de los aspectos precisados en el parrafo que precede,0
 se seguira la siguiente metodologia: a) En primer termino,0
 se establecera,0
 de acuerdo a lo previsto en los articulos 150 y 151 de la Ley General de Titulos y Operaciones de Credito,0
 las hipotesis que dan origen a la accion cambiaria ejercitada; b) Luego,0
 se fijaran los elementos constitutivos de la accion y se procedera al examen de cada uno de ellos.,0
a) Hipotesis legales sustento de la accion cambiaria ejercitada. La accion cambiaria es la accion ejecutiva proveniente de un titulo de credito que compete al acreedor para exigir judicialmente del deudor el cumplimiento de una obligacion cartular. Esta accion puede ser de dos clases y solo puede ejercitarse cuando concurra alguno de los supuestos previstos en la ley. Lo anterior,0
 encuentra sustento en lo dispuesto en los articulos 150 y 151 de la Ley General de Titulos y Operaciones de Credito que establecen:,0
Articulo 150. La accion cambiaria se ejercita:,0
I. En caso de falta de aceptacion o de aceptacion parcial;,0
II. En caso de falta de pago o de pago parcial;,0
III. Cuando el girado o el aceptante fueren declarados en estado de quiebra o de concurso.,0
En los casos de las fracciones I y III,0
 la accion puede deducirse aun antes del vencimiento por el importe total de la letra,0
 o tratandose de aceptacion parcial,0
 por la parte no aceptada.,0
Articulo 151. La accion cambiaria es directa o de regreso; directa,0
 cuando se deduce contra el aceptante o sus avalistas; de regreso,0
 cuando se ejercita contra cualquier otro obligado.,0
De la reproduccion de los numerales en alusion,0
 apreciamos que la accion cambiaria es directa o de regreso y que,0
 ademas,0
 puede ser ejercitada ante la actualizacion de las siguientes hipotesis: Falta de aceptacion o de aceptacion parcial; falta de pago o de pago parcial; y,0
 por ultimo,0
 cuando el girado o el aceptante fueren declarados en estado de quiebra o de concurso.,0
Ahora,0
 a efecto de precisar que clase de accion cambiaria intenta la parte accionante y en que causa se funda su ejercicio,0
 es menester acudir a lo narrado en el escrito de demanda.,0
En el observamos,0
 a grandes rasgos,0
 que la demanda se endereza en contra de la parte demandada,0
 como libradora; y que,0
 ademas,0
 se alega la falta de pago total del importe consignado en el citado documento mercantil.,0
En vista de lo anterior,0
 quien ahora juzga determina que el tipo de accion intentada es la cambiaria directa,0
 puesto que se deduce contra del librador de un titulo de credito y,0
 asimismo,0
 que su ejercicio se funda en la falta de pago total,0
 al reclamarse el importe integro de los mismos; conforme a lo estatuido en los ordinales 150,0
 fraccion II,0
 y 151 de la Ley General de Titulos y Operaciones de Credito.,0
b) Elementos constitutivos de la accion. Una vez fijada la clase de accion cambiaria intentada,0
 asi como la causa en que se funda,0
 lo que sigue es establecer los elementos constitutivos de la accion cambiaria directa objeto del juicio que nos ocupa.,0
Recordemos que al inicio de este considerando senalamos que la propia naturaleza del juicio ejecutivo exige la existencia de un titulo de credito para su procedencia y que,0
 ademas,0
 la parte actora fundo el ejercicio de su accion en la falta de pago total del importe del documento base,0
 es decir,0
 el actor acude en esta via a fin de ejercer la accion cambiaria directa; y siendo que,0
 como es de explorado derecho,0
 dicha accion es la relativa al cobro de un titulo de credito,0
 los cuales conforme al numeral 1391,0
 fraccion IV,0
 del Codigo de Comercio,0
 constituye titulo ejecutivo -como lo es el cheque base de la accion-,0
 debe tramitarse en la via ejecutiva mercantil la aludida accion. Confiere sustento a lo antes senalado,0
" la tesis jurisprudencial cuyo rubro es ""ACCION CAMBIARIA. DEBE EJERCERSE EN LA VIA EJECUTIVA MERCANTIL"".",0
De lo anterior,0
 obtenemos que los elementos constitutivos de la accion sean los siguientes,0
 a saber:,0
a). La existencia del cheque base de la accion. ,0
b).La falta de pago del importe total de este.,0
Existencia del cheque basal. Por existencia no solo debe entenderse la representacion material del acto juridico en el documento respectivo,0
 sino que este reuna todos los requisitos que senala la legislacion para ser catalogados como titulo de credito,0
 particularmente,0
 como cheque.,0
Precisado lo anterior,0
 el suscrito resolutor estima que el elemento en estudio se encuentra plenamente acreditado. Veamos por que:,0
El accionante sustenta su accion en un documento privado al que denomino como cheque. Sin embargo,0
 el hecho que asi los haya nombrado no es suficiente para reputarlo como tal. Para ello,0
 es menester que cumpla con las exigencias establecidas en el articulo 176 de la Ley General de Titulos y Operaciones de Credito. Dispositivo legal que enuncia:,0
